state(s),date,time,dead,inj,yards,miles,F,counties
IA,06191931,2200,0,0,70,8,F2,PALO ALTO
IA,06191931,2230,1,2,70,6,F2,HANCOCK
IA,06191931,2330,0,0,70,sl6,F2,CHICKASAW /HOWARD
IA,08271931,1315,1,21,50,7,F2,HANCOCK /CERRO GORDO
IA,08271931,,,0,70,6,F2,MUSCATINE
IA,09191931,1933,0,0,,5,F2,WORTH
IA,09211931,1500,0,0,,6,F2,DAVIS
IA,09211931,1515,0,20,100,11,F2,DAVIS
IA,09211931,1530,2,8,100,40,F4,VAN BUREN /JEFFERSON /HENRY /WASHINGTON /LOUISA
IA,05251932,2200,0,0,70,9,F2,IDA
IA,05251932,2215,0,0,50,sl5,F3,CRAWFORD /SAC
IA,06171932,2100,0,0,130,6,F2,MUSCATINE
IA-MN,07091932,1845,1,21,300,f22,F4,LYON. IA /ROCK /NOBLES. MN
IA,09121932,1600,0,0,25,1,F2,BREMER
IA,09121932,1715,0,0,400,5,F2,JONES
IA,05071933,1345,0,1,,12,F2,PLYMOUTH /SIOUX
IA,05071933,1600,0,0,200,12,F2,POLK /STORY
IA,05071933,1600,0,0,,,F2,WEBSTER
IA,05071933,1630,0,0,50,2,F2,WRIGHT
IA,05071933,,0,0,,12,F2,CALHOUN /WEBSTER
IA,05071933,,0,0,,,F2,WEBSTER
IA,05191933,2000,0,0,100,21,F2,HAMILTON
IA,06241933,2115,0,0,50,0.5,F2,DALLAS
IA,07011933,2330,0,0,,2,F2,DELAWARE
IA,06081934,1530,0,2,70,7,F2,SAC /CALHOUN
IA,06261934,0030,0,1,,2,F2,CEDAR
IA,07051934,1600,0,0,,sf30,F2,JASPER /POWESHIEK
IA,07101934,0200,0,0,,915,F2,CHICKASAW
IA,07101934,0200,0,1,,sf25,F2,FAYETTE /CLAYTON
IA,10231934,1915,0,1,,,F2,IDA
IA,03241935,1800,0,0,300,5,F2,MAHASKA
IA,07141935,1800,0,0,50,slO,F3,BREMER /FAYETTE
IA,04301936,1500,2,15,100,15,F4,CLAY /DICKINSON
IA-MN,04301936,1630,0,10,800,f20,F2,EMMET. IA /MARTIN. MN
IA-MN,04301936,1700,2,61,800,40,F4,EMMET. IA /MARTIN /FARIBAULT. MN
IA,04301936,1800,0,0,,1,F2,HARDIN
IA,04301936,2015,0,0,200,slO,F2,DALLAS
IA-IL,06291936,1515,0,2,,5,F2,CLINTON. IA / WHITESIDE. IL
IA,06291936,1530,0,0,,5,F2,MAHASKA /KEOKUK
IA,06291936,1630,0,0,,5,F2,JOHNSON
IA,09061936,1700,0,0,,7,F2,O’BRIEN
IA,09061936,1830,0,0,,,F2,FLOYD
IA,04231937,1910,0,0,0.1,,F2,GREENE
IA,05111937,1600,0,0,50,4,F2,LYON
IA,05111937,1915,0,1,100,10,F2,WRIGHT
IA,05111937,2100,0,0,,,F2,FLOYD
IA,05111937,2130,0,1,,,F2,STORY
